method1,method2,kendall_tau,spearman_rho,top10_overlap,ranking_model
AICW,FUCOM,0.6200131665569454,0.7901354823739445,7,WASPAS
AICW,LBWA,0.7880184331797234,0.9264737664761173,7,WASPAS
AICW,MEREC,0.45060346719332894,0.5986724208971873,4,WASPAS
AICW,SD,0.5114329602808865,0.6822503947411117,6,WASPAS
FUCOM,LBWA,0.7902128593372832,0.9346238923830729,9,WASPAS
FUCOM,MEREC,0.6648672372174677,0.8068079755153368,6,WASPAS
FUCOM,SD,0.7148123765635286,0.8685118734575402,8,WASPAS
LBWA,MEREC,0.5698924731182795,0.7294589215164671,6,WASPAS
LBWA,SD,0.6052666227781435,0.7789743649397648,7,WASPAS
MEREC,SD,0.6368663594470045,0.7594427155494631,5,WASPAS
AICW,FUCOM,0.5470385570454105,0.730924233254603,3,MARCOS
AICW,LBWA,0.8025368687505201,0.9354861718040064,7,MARCOS
AICW,MEREC,0.1238973008558262,0.1488897963631777,1,MARCOS
AICW,SD,0.4355935922756199,0.6071543803559435,4,MARCOS
FUCOM,LBWA,0.7203458645051078,0.8923290641855485,6,MARCOS
FUCOM,MEREC,0.4144923084673345,0.5434737289684606,7,MARCOS
FUCOM,SD,0.7830762142814678,0.9276207741336714,9,MARCOS
LBWA,MEREC,0.2762903794796021,0.37200289589340674,4,MARCOS
LBWA,SD,0.5851913629231985,0.7698778122846058,7,MARCOS
MEREC,SD,0.469212201009436,0.5548238618935695,6,MARCOS
